Party,Loss,Accuracy,Precision
0, 0.7417822230339051, 0.7506, 0.87
1, 0.47616397290229795, 0.8554, 0.91
0, 0.7170412855148316, 0.7614, 0.89
1, 0.4786551806926727, 0.8562, 0.91
0, 0.6007032028198243, 0.808, 0.89
1, 0.5686904020547867, 0.8222, 0.91
0, 0.5673084392547607, 0.811, 0.89
1, 0.7284952424526214, 0.7406, 0.9
0, 0.45192824993133546, 0.861, 0.9
1, 0.5353329216957092, 0.831, 0.9
0, 0.3937032302856445, 0.8788, 0.91
1, 0.5070175735592842, 0.8496, 0.89
0, 0.4066059546470642, 0.8694, 0.9
1, 0.44907527842521666, 0.8716, 0.91
0, 0.5583406860351563, 0.8304, 0.88
1, 0.5733833328723907, 0.8336, 0.89
0, 0.47961827182769773, 0.8534, 0.9
1, 0.4502879273623228, 0.868, 0.9
0, 0.46962645082473753, 0.8496, 0.89
1, 0.47612079916000366, 0.8458, 0.89
0, 0.33432817935943604, 0.9026, 0.92
1, 0.43860594033002853, 0.8656, 0.9
0, 0.4109450979709625, 0.8734, 0.9
1, 0.3783080674171448, 0.8864, 0.91
0, 0.40745988507270814, 0.882, 0.9
1, 0.3608420104384422, 0.8872, 0.92
0, 0.3723601973056793, 0.8924, 0.91
1, 0.3932071267962456, 0.8794, 0.9
0, 0.4794383860588074, 0.866, 0.9
1, 0.4107261487901211, 0.8806, 0.91
0, 0.6497688388824463, 0.7878, 0.89
1, 0.5820880702495574, 0.8188, 0.89
0, 0.4766885015487671, 0.8518, 0.91
1, 0.5915320002913474, 0.8072, 0.89
0, 0.5856831047058105, 0.8122, 0.89
1, 0.6339543078899383, 0.812, 0.9
0, 0.5638878507614136, 0.8212, 0.89
1, 0.5963349042415619, 0.815, 0.89
0, 0.6850883951187133, 0.763, 0.89
1, 0.5863415055632591, 0.823, 0.89
0, 0.5084856490135193, 0.8426, 0.89
1, 0.446889255297184, 0.863, 0.9
0, 0.5184458234786987, 0.8368, 0.89
1, 0.5367788475096226, 0.83, 0.89
0, 0.4372702946662903, 0.8612, 0.9
1, 0.4372794369697571, 0.8606, 0.9
0, 0.397037833404541, 0.878, 0.9
1, 0.4070322765052319, 0.8744, 0.91
0, 0.6437069712638855, 0.8052, 0.87
1, 0.4581039829611778, 0.8586, 0.9
0, 0.47054226751327516, 0.8602, 0.89
1, 0.4128493947327137, 0.8746, 0.91
0, 0.3883331889152527, 0.882, 0.91
1, 0.42045410881042483, 0.8774, 0.9
0, 0.3625329129695892, 0.8918, 0.91
1, 0.3890359896019101, 0.8854, 0.91
0, 0.3509257030487061, 0.8952, 0.92
1, 0.4057875744640827, 0.8812, 0.91
0, 0.43264032282829284, 0.8712, 0.9
1, 0.36767201468348504, 0.8946, 0.92
0, 0.49584152374267576, 0.8456, 0.9
1, 0.6978946474075317, 0.7922, 0.89
0, 0.5048242727279663, 0.8452, 0.9
1, 0.5396083990812302, 0.8278, 0.9
0, 0.5318878915786743, 0.8446, 0.9
1, 0.7571873071670532, 0.7648, 0.9
0, 0.5109043239593506, 0.8372, 0.91
1, 0.5254812646389008, 0.8386, 0.9
0, 0.6811482314109802, 0.7742, 0.88
1, 0.5874746008872986, 0.8086, 0.89
0, 0.4181203242301941, 0.8692, 0.9
1, 0.4553647259950638, 0.8622, 0.91
0, 0.4307735098361969, 0.8654, 0.9
1, 0.42888627503514287, 0.869, 0.91
0, 0.461584969329834, 0.8576, 0.89
1, 0.3877853383988142, 0.8796, 0.91
0, 0.4600563750267029, 0.8476, 0.9
1, 0.38686938084363937, 0.8852, 0.91
0, 0.4057467151641846, 0.878, 0.91
1, 0.42418144845068456, 0.8758, 0.9
0, 0.32403016057014467, 0.9014, 0.92
1, 0.4029247880369425, 0.8816, 0.91
0, 0.44323634810447693, 0.8692, 0.9
1, 0.4260006060898304, 0.8672, 0.9
0, 0.35025051574707033, 0.8928, 0.91
1, 0.3703546098172665, 0.89, 0.91
0, 0.41370379042625427, 0.8782, 0.9
1, 0.4162370950102806, 0.881, 0.91
0, 0.47799208984375, 0.8618, 0.9
1, 0.3915578398704529, 0.882, 0.91
0, 0.6317229375839234, 0.7992, 0.88
1, 0.6311580676078796, 0.8022, 0.88
